imgID,maskID,LabelName,BoxXMin,BoxXMax,BoxYMin,BoxYMax,PredictedIoU,Clicks
001_img.jpg,001_mask.png,Cello,0.55,0.751667,0.25875,0.91375,0.77886,0.66162 0.50983 0;0.60519 0.78445 0;0.72264 0.56337 1;0.61335 0.64338 0;0.66902 0.50457 0;0.69310 0.27321 1;0.63516 0.42331 0;0.61147 0.51530 0;0.58485 0.73292 0;0.69989 0.48310 0;0.67843 0.32343 1
002_img.jpg,002_mask.png,Cello,0.134375,0.35625,0.144287,0.613011,0.65278,0.24097 0.28047 0;0.26950 0.36729 1;0.31003 0.18679 0;0.18561 0.43736 1;0.19566 0.24119 0;0.18959 0.56323 1;0.33520 0.23220 1;0.26172 0.48317 1;0.28182 0.32330 0;0.18143 0.41610 0;0.26187 0.46937 0;0.30178 0.19901 1
002_img.jpg,002_mask.png,Cello,0.134375,0.35625,0.144287,0.613011,0.65278,0.24097 0.28047 0;0.26950 0.36729 1;0.31003 0.18679 0;0.18561 0.43736 1;0.19566 0.24119 0;0.18959 0.56323 1;0.33520 0.23220 1;0.26172 0.48317 1;0.28182 0.32330 0;0.18143 0.41610 0;0.26187 0.46937 0;0.30178 0.19901 1
002_img.jpg,002_mask.png,Cello,0.134375,0.35625,0.144287,0.613011,0.65278,0.24097 0.28047 0;0.26950 0.36729 1;0.31003 0.18679 0;0.18561 0.43736 1;0.19566 0.24119 0;0.18959 0.56323 1;0.33520 0.23220 1;0.26172 0.48317 1;0.28182 0.32330 0;0.18143 0.41610 0;0.26187 0.46937 0;0.30178 0.19901 1
002_img.jpg,002_mask.png,Cello,0.134375,0.35625,0.144287,0.613011,0.65278,0.24097 0.28047 0;0.26950 0.36729 1;0.31003 0.18679 0;0.18561 0.43736 1;0.19566 0.24119 0;0.18959 0.56323 1;0.33520 0.23220 1;0.26172 0.48317 1;0.28182 0.32330 0;0.18143 0.41610 0;0.26187 0.46937 0;0.30178 0.19901 1
002_img.jpg,002_mask.png,Cello,0.134375,0.35625,0.144287,0.613011,0.65278,0.24097 0.28047 0;0.26950 0.36729 1;0.31003 0.18679 0;0.18561 0.43736 1;0.19566 0.24119 0;0.18959 0.56323 1;0.33520 0.23220 1;0.26172 0.48317 1;0.28182 0.32330 0;0.18143 0.41610 0;0.26187 0.46937 0;0.30178 0.19901 1
003_img.jpg,003_mask.png,Cello,0.214667,0.448,0.171,0.973,0.7307,0.30228 0.39581 1;0.30141 0.81860 1;0.39594 0.65599 1;0.40115 0.33857 0;0.38048 0.25483 1;0.32442 0.33754 0;0.18565 0.60497 1;0.40070 0.40095 1;0.33614 0.25755 0;0.40859 0.36754 0;0.24971 0.58229 1;0.26805 0.90049 0
004_img.jpg,004_mask.png,Cello,0.0,0.88574,0.2075,0.999375,0.69974,0.73202 0.27964 1;0.66875 0.48728 0;0.47896 0.92850 0;0.01397 0.86794 1;0.62917 0.34929 1;0.56547 0.43641 0;0.83885 0.24585 1;0.69818 0.67777 0;0.69599 0.74791 0;0.63558 0.25792 0;0.07546 0.47381 0;0.10566 0.54328 1
005_img.jpg,005_mask.png,Cello,0.363333,0.464167,0.35,0.523333,0.25278,0.40310 0.40487 1;0.44103 0.46038 0;0.42484 0.46038 0;0.46740 0.53069 1;0.43502 0.46228 1;0.37935 0.35928 1;0.31922 0.25011 1;0.39940 0.42990 0;0.41762 0.48931 0;0.44883 0.39083 0;0.39629 0.39122 0;0.36799 0.37648 1
005_img.jpg,005_mask.png,Cello,0.363333,0.464167,0.35,0.523333,0.25278,0.40310 0.40487 1;0.44103 0.46038 0;0.42484 0.46038 0;0.46740 0.53069 1;0.43502 0.46228 1;0.37935 0.35928 1;0.31922 0.25011 1;0.39940 0.42990 0;0.41762 0.48931 0;0.44883 0.39083 0;0.39629 0.39122 0;0.36799 0.37648 1
005_img.jpg,005_mask.png,Cello,0.363333,0.464167,0.35,0.523333,0.25278,0.40310 0.40487 1;0.44103 0.46038 0;0.42484 0.46038 0;0.46740 0.53069 1;0.43502 0.46228 1;0.37935 0.35928 1;0.31922 0.25011 1;0.39940 0.42990 0;0.41762 0.48931 0;0.44883 0.39083 0;0.39629 0.39122 0;0.36799 0.37648 1
005_img.jpg,005_mask.png,Cello,0.363333,0.464167,0.35,0.523333,0.25278,0.40310 0.40487 1;0.44103 0.46038 0;0.42484 0.46038 0;0.46740 0.53069 1;0.43502 0.46228 1;0.37935 0.35928 1;0.31922 0.25011 1;0.39940 0.42990 0;0.41762 0.48931 0;0.44883 0.39083 0;0.39629 0.39122 0;0.36799 0.37648 1
005_img.jpg,005_mask.png,Cello,0.363333,0.464167,0.35,0.523333,0.25278,0.40310 0.40487 1;0.44103 0.46038 0;0.42484 0.46038 0;0.46740 0.53069 1;0.43502 0.46228 1;0.37935 0.35928 1;0.31922 0.25011 1;0.39940 0.42990 0;0.41762 0.48931 0;0.44883 0.39083 0;0.39629 0.39122 0;0.36799 0.37648 1
005_img.jpg,005_mask.png,Cello,0.363333,0.464167,0.35,0.523333,0.25278,0.40310 0.40487 1;0.44103 0.46038 0;0.42484 0.46038 0;0.46740 0.53069 1;0.43502 0.46228 1;0.37935 0.35928 1;0.31922 0.25011 1;0.39940 0.42990 0;0.41762 0.48931 0;0.44883 0.39083 0;0.39629 0.39122 0;0.36799 0.37648 1
006_img.jpg,006_mask.png,Cello,0.421875,0.833125,0.0,0.999311,0.69259,0.59669 0.15367 0;0.56763 0.00030 1;0.49705 0.68475 0;0.56763 0.90679 1;0.45279 0.51659 1;0.57155 0.42656 0;0.72741 0.74302 1;0.66061 0.94218 0;0.63315 0.29230 0;0.55676 0.54200 0;0.63860 0.89097 1;0.67407 0.57208 1
006_img.jpg,006_mask.png,Cello,0.421875,0.833125,0.0,0.999311,0.69259,0.59669 0.15367 0;0.56763 0.00030 1;0.49705 0.68475 0;0.56763 0.90679 1;0.45279 0.51659 1;0.57155 0.42656 0;0.72741 0.74302 1;0.66061 0.94218 0;0.63315 0.29230 0;0.55676 0.54200 0;0.63860 0.89097 1;0.67407 0.57208 1
007_img.jpg,007_mask.png,Cello,0.306875,0.765625,0.029081,0.903377,0.70959,0.49723 0.18032 0;0.62446 0.09200 1;0.71830 0.78904 0;0.37317 0.78666 0;0.46434 0.46408 0;0.64396 0.27882 0;0.57071 0.06495 0;0.46334 0.88279 1;0.49090 0.45636 0;0.61376 0.44253 1;0.57997 0.12444 0;0.54772 0.28810 0
008_img.jpg,008_mask.png,Cello,0.363125,0.55125,0.513333,0.98,0.84153,0.43007 0.50273 0;0.49640 0.53712 0;0.52036 0.73980 0;0.42086 0.53221 0;0.51448 0.95221 0;0.40253 0.60970 1;0.51861 0.56940 0;0.38879 0.95038 0;0.49431 0.59153 1;0.54287 0.90605 1;0.54074 0.77796 1;0.43667 0.53673 1
008_img.jpg,008_mask.png,Cello,0.363125,0.55125,0.513333,0.98,0.84153,0.43007 0.50273 0;0.49640 0.53712 0;0.52036 0.73980 0;0.42086 0.53221 0;0.51448 0.95221 0;0.40253 0.60970 1;0.51861 0.56940 0;0.38879 0.95038 0;0.49431 0.59153 1;0.54287 0.90605 1;0.54074 0.77796 1;0.43667 0.53673 1
009_img.jpg,009_mask.png,Cello,0.195489,0.788534,0.214375,0.870625,0.73336,0.43596 0.38259 0;0.62902 0.71443 0;0.35873 0.74406 0;0.62605 0.33124 1;0.36184 0.46346 1;0.57211 0.26316 0;0.67441 0.55164 0;0.42436 0.79981 0;0.62584 0.38452 0;0.28772 0.42430 0;0.30593 0.62493 0;0.57642 0.31533 0
