imgID,maskID,LabelName,BoxXMin,BoxXMax,BoxYMin,BoxYMax,PredictedIoU,Clicks
001_img.jpg,001_mask.png,Human,0.094017,0.933333,0.034,0.997,0.85726,0.33534 0.17283 1;0.22839 0.69801 0;0.80852 0.45912 0;0.75018 0.98241 0;0.42897 0.72253 0;0.68472 0.94196 1;0.87226 0.96939 1;0.31639 0.03954 0;0.30048 0.49923 0;0.86358 0.78398 0;0.62498 0.24612 1
001_img.jpg,001_mask.png,Human,0.094017,0.933333,0.034,0.997,0.85726,0.33534 0.17283 1;0.22839 0.69801 0;0.80852 0.45912 0;0.75018 0.98241 0;0.42897 0.72253 0;0.68472 0.94196 1;0.87226 0.96939 1;0.31639 0.03954 0;0.30048 0.49923 0;0.86358 0.78398 0;0.62498 0.24612 1
001_img.jpg,001_mask.png,Human,0.094017,0.933333,0.034,0.997,0.85726,0.33534 0.17283 1;0.22839 0.69801 0;0.80852 0.45912 0;0.75018 0.98241 0;0.42897 0.72253 0;0.68472 0.94196 1;0.87226 0.96939 1;0.31639 0.03954 0;0.30048 0.49923 0;0.86358 0.78398 0;0.62498 0.24612 1
002_img.jpg,002_mask.png,Human,0.28,0.426667,0.19,0.743333,0.64984,0.36390 0.26164 0;0.35759 0.73090 1;0.41940 0.24271 1
002_img.jpg,002_mask.png,Human,0.28,0.426667,0.19,0.743333,0.64984,0.36390 0.26164 0;0.35759 0.73090 1;0.41940 0.24271 1
002_img.jpg,002_mask.png,Human,0.28,0.426667,0.19,0.743333,0.64984,0.36390 0.26164 0;0.35759 0.73090 1;0.41940 0.24271 1
003_img.jpg,003_mask.png,Human,0.071033,0.814576,0.148383,0.932489,0.82052,0.75906 0.38702 1;0.66502 0.38919 0;0.49403 0.91925 1;0.35725 0.31533 0;0.41038 0.23611 1;0.33833 0.89523 1;0.67724 0.47209 1;0.66657 0.71011 1;0.62820 0.16558 0;0.70212 0.42173 0;0.60356 0.74361 0;0.21490 0.86229 0
003_img.jpg,003_mask.png,Human,0.071033,0.814576,0.148383,0.932489,0.82052,0.75906 0.38702 1;0.66502 0.38919 0;0.49403 0.91925 1;0.35725 0.31533 0;0.41038 0.23611 1;0.33833 0.89523 1;0.67724 0.47209 1;0.66657 0.71011 1;0.62820 0.16558 0;0.70212 0.42173 0;0.60356 0.74361 0;0.21490 0.86229 0
004_img.jpg,004_mask.png,Human,0.08875,0.27625,0.301322,0.991189,0.85667,0.25480 0.35445 1;0.20677 0.91516 0;0.24039 0.57386 0;0.15777 0.52781 1;0.16127 0.50189 0;0.26237 0.32420 0;0.18491 0.97016 1;0.18167 0.48680 0;0.13492 0.86977 0
004_img.jpg,004_mask.png,Human,0.08875,0.27625,0.301322,0.991189,0.85667,0.25480 0.35445 1;0.20677 0.91516 0;0.24039 0.57386 0;0.15777 0.52781 1;0.16127 0.50189 0;0.26237 0.32420 0;0.18491 0.97016 1;0.18167 0.48680 0;0.13492 0.86977 0
