imgID,maskID,LabelName,BoxID,BoxXMin,BoxXMax,BoxYMin,BoxYMax,PredictedIoU,Clicks
001_img.jpg,001_mask.png,saxophone,4cb2a33e,0.080625,0.213125,0.531895,0.912758,0.58058,0.14628 0.55341 1;0.16058 0.58741 0;0.09343 0.76989 1;0.14866 0.82655 1;0.10322 0.83985 0;0.14957 0.74007 0;0.12822 0.57895 0;0.14530 0.68057 0;0.11727 0.72078 0;0.14197 0.54226 0;0.17706 0.78517 1;0.14002 0.70713 1
002_img.jpg,002_mask.png,saxophone,b4efec20,0.46625,0.658125,0.352444,0.99906,0.58615,0.59336 0.75990 0;0.53679 0.72534 0;0.57846 0.56613 0;0.50750 0.99941 1;0.63478 0.47128 1;0.54068 0.69087 1;0.60383 0.41689 0;0.55207 0.95861 1;0.63281 0.51808 0
003_img.jpg,003_mask.png,saxophone,4b8c6f8d,0.476454,0.855032,0.303125,0.951875,0.82343,0.65854 0.38018 0;0.76187 0.59172 0;0.66358 0.91245 1;0.62073 0.31706 1;0.69328 0.40881 0;0.56124 0.75846 0;0.52186 0.91996 1;0.74656 0.56717 0;0.60143 0.35263 0;0.56194 0.73192 1;0.73967 0.65004 0;0.83347 0.74695 1
004_img.jpg,004_mask.png,saxophone,77b93fcf,0.31625,0.415625,0.289167,0.535833,0.79765,0.40687 0.30793 1;0.39314 0.43061 0;0.32829 0.52985 1;0.38323 0.48044 1;0.40789 0.34868 1;0.37434 0.35033 0;0.39225 0.45215 1;0.33029 0.46751 0;0.40691 0.29398 1;0.40075 0.32556 0
005_img.jpg,005_mask.png,saxophone,d4884025,0.754375,0.84125,0.110833,0.483333,0.76664,0.76306 0.35463 1;0.80697 0.20531 0;0.76808 0.18523 1;0.79568 0.26930 0;0.81003 0.13035 1;0.78082 0.18293 0;0.77790 0.28031 0;0.75891 0.36211 1;0.80777 0.15379 0;0.76590 0.22983 1
006_img.jpg,006_mask.png,saxophone,b033450b,0.4225,0.54,0.291353,0.947368,0.68261,0.51132 0.28121 0;0.45397 0.90106 1;0.47787 0.60641 0;0.49221 0.51478 1;0.47556 0.36657 0;0.52780 0.68649 1;0.45285 0.69901 1;0.43316 0.89028 1;0.46448 0.63170 1;0.50152 0.54393 0;0.44203 0.76674 0;0.49254 0.61313 0
007_img.jpg,007_mask.png,saxophone,bed8363f,0.579375,0.650625,0.31,0.48,0.6352,0.59265 0.33216 0;0.62744 0.32778 0;0.60907 0.37236 0;0.62776 0.33451 1;0.59025 0.31796 1;0.60394 0.45072 0;0.59491 0.35400 0;0.63100 0.34456 0
008_img.jpg,008_mask.png,saxophone,6f9e6f15,0.023125,0.066875,0.393333,0.514167,0.67802,0.04790 0.40126 1;0.03027 0.49002 1;0.04790 0.50332 1;0.06506 0.39724 1;0.05331 0.40920 0;0.05566 0.39564 0;0.03329 0.48429 0;0.05065 0.49368 0;0.05954 0.39940 1;0.05954 0.47181 0;0.02821 0.49790 1;0.05316 0.43438 0
009_img.jpg,009_mask.png,saxophone,67eaeaf3,0.458724,0.531895,0.44625,0.689375,0.76601,0.51787 0.51006 0;0.46981 0.59984 1;0.47169 0.68271 1;0.51975 0.48243 0;0.50540 0.56009 0;0.51142 0.45852 1;0.46227 0.62358 0;0.47531 0.46453 0;0.48901 0.54959 0;0.49343 0.45533 0;0.51024 0.58141 1;0.47752 0.57728 1
010_img.jpg,010_mask.png,saxophone,6c75f930,0.65785,0.972696,0.48375,0.680625,0.82478,0.94024 0.56670 0;0.67105 0.64110 1;0.93860 0.63230 0;0.96263 0.59870 0;0.94425 0.58388 1;0.70786 0.66512 0;0.83819 0.63428 1;0.73070 0.66643 1;0.87460 0.62362 1;0.95441 0.51223 1;0.95127 0.62685 1
011_img.jpg,011_mask.png,saxophone,5f93eba1,0.66125,0.795,0.414864,0.982126,0.76661,0.73691 0.68423 0;0.73788 0.46976 0;0.73788 0.79803 0;0.72414 0.44799 1;0.71633 0.54205 0;0.70592 0.78014 1;0.73521 0.76838 1;0.73041 0.47889 0;0.76440 0.65011 0;0.70295 0.64519 0;0.72714 0.43362 0
012_img.jpg,012_mask.png,saxophone,6b9ebf08,0.24625,0.47125,0.025833,0.504167,0.76417,0.31304 0.09803 0;0.28754 0.38082 0;0.45796 0.18096 0;0.44179 0.12623 0;0.27490 0.40039 1;0.42705 0.23563 0;0.43074 0.16800 1;0.47593 0.13726 0;0.38574 0.13413 0;0.46128 0.12962 1;0.33670 0.43705 1;0.27694 0.47839 1
013_img.jpg,013_mask.png,saxophone,5b74566e,0.282364,0.721388,0.296875,0.651875,0.72087,0.54737 0.57729 1;0.37719 0.55449 0;0.62229 0.34929 0;0.61766 0.48794 0;0.32067 0.59255 1;0.55653 0.53316 0;0.58807 0.31481 0;0.70326 0.38059 1;0.61650 0.31390 1;0.43832 0.45047 0;0.31258 0.61921 1;0.53426 0.51678 1
014_img.jpg,014_mask.png,saxophone,1f11ad22,0.243125,0.37875,0.406397,0.780809,0.70625,0.33204 0.42196 1;0.35180 0.61727 0;0.27661 0.64314 0;0.26415 0.43554 0;0.35328 0.42905 0;0.30997 0.42042 0;0.33991 0.60932 1;0.32634 0.47972 0;0.37735 0.45686 1;0.25429 0.75347 1;0.32478 0.65733 1
